country,iso3,region,renewable_2000,renewable_2026,renewable_change_pp,fossil_2000,fossil_2026,fossil_change_pp,co2_2000,co2_2026,co2_change,renewable_slope,fossil_slope,co2_slope,recent_renewable_slope,recent_co2_slope,cluster,transition_score,trajectory,cluster_distance
Germany,DEU,Europe,2.44,30.78,28.34,84.81,68.99,-15.820000000000007,12.0,6.57,-5.43,1.0579120879120973,-0.5434310134310171,-0.21539682539682709,1.7740000000002674,-0.21000000000002667,1,49.59000000000001,Accelerated,2.5377763525267323
India,IND,Asia,4.24,15.72,11.48,94.92,83.1,-11.820000000000007,0.81,2.13,1.3199999999999998,0.32467643467643703,-0.32617826617826756,0.04747252747252784,1.2160000000001985,0.06200000000000781,2,21.980000000000008,Moderate,1.5114058651731341
Indonesia,IDN,Asia,18.75,21.78,3.030000000000001,78.69,74.01,-4.679999999999993,1.21,2.75,1.54,0.2681440781440825,-0.3116910866910911,0.05697191697191744,0.33599999999990854,0.08500000000000982,0,6.169999999999994,BAU,1.023803582584427
Iran,IRN,MENA,3.88,6.14,2.26,95.52,93.86,-1.6599999999999966,5.49,8.8,3.3100000000000005,0.13799145299145474,-0.16520146520146625,0.11977411477411565,-0.2510000000000919,0.1290000000000132,0,0.6099999999999959,BAU,0.9558723820493668
Iraq,IRQ,MENA,3.77,6.52,2.7499999999999996,93.68,92.53,-1.1500000000000057,2.39,5.18,2.7899999999999996,0.15006715506715554,-0.1283699633699647,0.12181929181929294,0.227999999999974,0.08300000000000485,0,1.1100000000000056,BAU,0.9048317534252116
Israel,ISR,MENA,3.69,7.59,3.9,96.31,91.52,-4.790000000000006,7.63,5.28,-2.3499999999999996,0.1509035409035416,-0.1588888888888892,-0.10504884004884109,0.7219999999999568,-0.16200000000001794,2,11.040000000000006,Moderate,1.7798219646336124
Italy,ITA,Europe,11.08,30.2,19.119999999999997,80.09,59.47,-20.620000000000005,9.46,4.87,-4.590000000000001,0.6861111111111178,-0.6954822954823006,-0.19763736263736426,1.3980000000002282,-0.07800000000001828,1,44.330000000000005,Accelerated,1.1023544939050143
Japan,JPN,Asia,5.17,14.35,9.18,78.78,78.67,-0.10999999999999943,11.6,7.33,-4.27,0.3530158730158757,0.17119047619047867,-0.17776556776556943,0.5010000000000453,-0.21600000000002645,2,13.559999999999999,Moderate,3.0606281929208725
Kazakhstan,KAZ,Eurasia,8.1,6.62,-1.4799999999999995,85.71,85.26,-0.44999999999998863,9.97,13.91,3.9399999999999995,0.05130036630036901,-0.11722832722833118,0.1418131868131874,-0.2820000000000967,-0.11500000000002475,0,-4.97000000000001,BAU,1.9184565758485348
Kenya,KEN,Africa,40.14,44.25,4.109999999999999,58.79,55.15,-3.6400000000000006,0.23,0.48,0.24999999999999997,0.1285103785103805,-0.15062271062271215,0.008608058608058678,1.2960000000000642,0.017000000000002458,2,7.5,Moderate,1.8853110816906469
Kuwait,KWT,MENA,4.01,10.51,6.5,95.69,88.97,-6.719999999999999,14.19,21.68,7.49,0.1944078144078167,-0.19980463980464153,0.24252136752136785,1.01600000000019,-0.27300000000006347,2,5.729999999999999,Moderate,3.0822305312428773
Malaysia,MYS,Asia,17.73,23.71,5.98,81.48,74.68,-6.799999999999997,4.96,8.33,3.37,0.2717887667887702,-0.3015689865689884,0.13634310134310243,0.7210000000001244,0.06700000000000646,0,9.409999999999997,BAU,1.4416533614522706
Mexico,MEX,North America,9.92,15.17,5.25,81.69,75.08,-6.609999999999999,3.4,3.58,0.18000000000000016,0.21385836385836557,-0.2507326007326031,-0.0002014652014652184,-0.4959999999999771,0.003999999999998628,0,11.68,BAU,1.2583864994912048
Morocco,MAR,Africa,38.45,41.1,2.6499999999999986,59.29,57.68,-1.6099999999999994,1.05,2.12,1.07,0.17518315018315309,-0.1616422466422494,0.04028693528693557,0.019999999999924724,0.04000000000000429,0,3.1899999999999977,BAU,0.8582652588310773
Netherlands,NLD,Europe,10.13,25.68,15.549999999999999,78.85,63.6,-15.249999999999993,11.47,7.06,-4.410000000000001,0.5967887667887705,-0.5735714285714326,-0.19777167277167446,0.37400000000003436,-0.1390000000000185,1,35.209999999999994,Accelerated,1.2719420296297619
Nigeria,NGA,Africa,38.78,43.77,4.990000000000002,61.22,56.23,-4.990000000000002,0.55,0.65,0.09999999999999998,0.15419413919414043,-0.20072039072039113,0.00525641025641033,-0.20499999999999188,0.012000000000000819,0,9.880000000000004,BAU,1.0017447577192626
Norway,NOR,Europe,11.37,27.75,16.380000000000003,78.3,63.24,-15.059999999999995,9.67,7.45,-2.2199999999999998,0.6313797313797366,-0.6049145299145344,-0.10916361416361531,0.5280000000001289,-0.16900000000002482,1,33.66,Accelerated,1.1952008834102341
Pakistan,PAK,Asia,14.8,22.14,7.34,81.8,75.39,-6.409999999999997,0.59,1.2,0.61,0.27547008547008733,-0.2868620268620289,0.0235958485958488,0.13599999999990278,0.031000000000003587,0,13.139999999999997,BAU,1.1059353254303
Philippines,PHL,Asia,16.39,22.02,5.629999999999999,81.74,73.77,-7.969999999999999,0.74,1.55,0.81,0.24261904761904715,-0.3131929181929179,0.032380952380952684,-0.6290000000000809,0.04500000000000371,0,12.789999999999997,BAU,1.3432810697170774
Poland,POL,Europe,10.43,30.71,20.28,80.53,59.83,-20.700000000000003,10.19,7.66,-2.5299999999999994,0.7004884004884075,-0.7485714285714358,-0.10151404151404224,1.2400000000001805,-0.08900000000002832,1,43.510000000000005,Accelerated,1.1656243536090165
Qatar,QAT,MENA,2.39,11.22,8.83,94.67,88.32,-6.3500000000000085,21.49,37.9,16.41,0.2018864468864475,-0.23220390720390965,0.5801159951159983,0.5490000000002923,0.03199999999996946,0,-1.2299999999999915,BAU,3.9833474565730365
Russia,RUS,Eurasia,3.49,3.45,-0.040000000000000036,91.66,89.52,-2.1400000000000006,12.59,12.44,-0.15000000000000036,-0.016605616605616765,-0.06639194139194235,-0.019902319902319998,0.03500000000004874,0.1800000000000045,0,2.250000000000001,BAU,1.9958361036797345
Saudi Arabia,SAU,MENA,4.01,5.91,1.9000000000000004,95.99,91.98,-4.009999999999991,9.2,17.78,8.580000000000002,0.15032356532356692,-0.18940781440781593,0.3392246642246668,-0.5670000000001695,0.20400000000001275,0,-2.6700000000000106,BAU,2.2909476405402724
South Africa,ZAF,Africa,6.02,19.43,13.41,90.73,76.15,-14.579999999999998,7.21,6.4,-0.8099999999999996,0.4782356532356577,-0.5355982905982956,-0.04239316239316297,1.165000000000177,-0.15600000000001127,1,28.799999999999997,Accelerated,1.9226012659230016
South Korea,KOR,Asia,13.37,20.83,7.459999999999999,83.56,76.85,-6.710000000000008,10.88,11.07,0.1899999999999995,0.3199084249084257,-0.32611111111111224,-0.0029242979242983234,-0.9360000000000834,-0.11000000000002412,0,13.980000000000008,BAU,2.3052456492393327
Spain,ESP,Europe,8.94,26.31,17.369999999999997,81.73,62.49,-19.240000000000002,7.62,4.5,-3.12,0.7188705738705787,-0.7353052503052544,-0.13097069597069697,-0.20499999999993979,-0.06900000000001454,1,39.73,Accelerated,2.0097635193601877
Sweden,SWE,Europe,14.95,28.06,13.11,75.53,63.42,-12.11,6.17,2.6,-3.57,0.6186080586080654,-0.6106043956044019,-0.15615995115995257,0.7260000000000888,-0.13700000000001478,1,28.79,Accelerated,1.3877762630076504
Thailand,THA,Asia,15.08,22.76,7.6800000000000015,82.97,74.77,-8.200000000000003,2.97,4.39,1.4199999999999995,0.31386446886447034,-0.3507081807081821,0.05988400488400535,0.2700000000000002,-0.008000000000008193,2,14.460000000000004,Moderate,0.9357097926587441
Turkey,TUR,MENA,3.4,7.8,4.4,96.58,91.55,-5.030000000000001,3.07,5.6,2.53,0.19305860805861036,-0.20518925518925732,0.09869963369963448,-0.1209999999999978,0.1050000000000028,0,6.900000000000002,BAU,0.5263549190019531
UAE,ARE,MENA,1.86,6.56,4.699999999999999,96.7,90.94,-5.760000000000005,13.33,24.06,10.729999999999999,0.13912087912087914,-0.15736874236874235,0.4617094017094053,-0.22700000000000334,-0.1620000000000499,0,-0.26999999999999424,BAU,3.0730410572322717
Ukraine,UKR,Europe,9.42,27.48,18.060000000000002,78.15,63.27,-14.880000000000003,10.28,3.76,-6.52,0.6682234432234485,-0.639511599511605,-0.26167887667887857,0.5740000000000856,-0.2280000000000263,1,39.46000000000001,Accelerated,1.1496125289435712
United Kingdom,GBR,Europe,0.7,25.97,25.27,91.27,66.37,-24.89999999999999,10.03,4.06,-5.97,1.0518925518925613,-1.0979609279609381,-0.25085470085470296,1.1550000000001772,-0.1620000000000179,1,56.139999999999986,Accelerated,2.698429146176121
United States,USA,North America,4.96,15.05,10.09,87.07,77.18,-9.889999999999986,20.55,13.97,-6.58,0.3920085470085503,-0.37557387057387326,-0.2694261294261313,0.3870000000001005,-0.08800000000003463,2,26.559999999999988,Moderate,2.050224547124697
Venezuela,VEN,LatAm,33.43,41.75,8.32,66.57,55.51,-11.059999999999995,5.97,4.38,-1.5899999999999999,0.3008241758241785,-0.32801587301587504,-0.08956654456654557,0.6390000000000382,-0.030000000000004266,2,20.969999999999995,Moderate,0.6283405412082091
Vietnam,VNM,Asia,16.24,23.41,7.170000000000002,80.24,72.97,-7.269999999999996,0.95,4.58,3.63,0.28818681318681666,-0.29710622710622975,0.13584249084249198,0.5760000000000086,0.22900000000002685,0,10.809999999999999,BAU,2.0203533843156314
